id,title,revenue,runtime,budget,original_title,release_year,release_month,top_cast_count,top_writers_count,top_director_count,top_producers_count,top_production_companies_count,historical_vote_average,historical_vote_count,historical_imdb_votes,historical_imdb_rating,historical_popularity,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_TV_Movie,genre_Thriller,genre_War,genre_Western,is_english,spoken_has_english,success,budget_log,historical_vote_count_log,iso_outlier
18316,Black Dog,12951088.0,88.0,30000000.0,Black Dog,1998.0,5.0,0,0,0,0,1,6.236076812669226,643.6799397533466,41349.21350322456,6.375542922711487,3.9054489444016833,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,17.216707972959764,6.468753976202485,0
404378,A Street Cat Named Bob,17900000.0,103.0,8000000.0,A Street Cat Named Bob,2016.0,11.0,0,0,0,0,0,6.396865161657445,1270.7855574584516,61907.57341287252,6.6177081041895205,4.436082596324575,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,15.894952224644102,7.148177142783965,0
324852,Despicable Me 3,1034800131.0,90.0,80000000.0,Despicable Me 3,2017.0,6.0,0,0,0,0,1,6.301363511690608,1648.0404866146057,75722.57928980414,6.492122715144184,4.8028774639251965,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,18.197537205138154,7.407948874480518,0
10944,In the Cut,23726793.0,119.0,12000000.0,In the Cut,2003.0,10.0,0,0,0,0,1,6.513445269921712,767.8299747485155,52517.31597994109,6.763915277096992,3.777193999333473,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,16.300417291085605,6.644869845902945,0
10090,Reno 911!: Miami,20342161.0,83.0,10000000.0,Reno 911!: Miami,2007.0,2.0,0,0,0,0,2,6.289259678627914,747.3105712337796,49338.59972201315,6.519699373909247,4.052579771273499,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16.118095750958314,6.6178180939860995,0
10696,Glitter,5271666.0,104.0,22000000.0,Glitter,2001.0,9.0,0,0,0,0,2,6.350798405739911,411.07334425776816,28069.092463561217,6.671426515484353,3.3802418899279965,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,16.906553056777135,6.021201353548966,0
11232,Kate & Leopold,76019048.0,118.0,48000000.0,Kate & Leopold,2001.0,12.0,0,0,0,2,1,6.272668765760638,812.9899427686765,43990.28262051619,6.537733807945195,3.884596208054224,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,17.6867115897055,6.701948010605176,0
10625,Mean Girls,130161094.0,97.0,17000000.0,Mean Girls,2004.0,4.0,0,0,0,0,1,6.303567618807508,539.989578566739,37153.22057863615,6.654433545370429,3.5509853017721085,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,16.648723960844016,6.293400015383195,0
7457,Alpha Dog,32400000.0,122.0,9500000.0,Alpha Dog,2006.0,1.0,2,0,0,0,1,6.487267802558012,784.624026526164,54520.73003848072,6.752327239115668,3.893202469869139,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,16.066802461833923,6.666478340236236,0
6114,Bram Stoker's Dracula,215862692.0,128.0,40000000.0,Bram Stoker's Dracula,1992.0,11.0,0,0,1,1,1,6.350310274727535,567.5323020429898,33514.950488872935,6.423339830801239,3.723777262274704,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,17.50439003707821,6.343058131352995,0
